Country;cod;First case date;Let1;Let2;Let3;Let4;Let5;Let6;Let7;Let8;Let9;Days;p60years;Sex;Literacy;Doctors;Beds;GDP;Health;Obesity;Passengers;Test;Quarantine;HIV/AIDS;Respiratory.infectious;Diabetes;Cardiovascular;Respiratory.diseases;Tobacco;Poverty;Urbanpop;Density;Nurse;Height
Israel;ISR;31/12/2019;0,011982928;0,013823905;0,01511879;0,014829632;0,015094101;0,016186389;0,016860044;0,016859663;0,017328649;160;0,32444496;0,49701873;92;3,2176;3,1;370,5879772;0,0476;0,515;7404373;73,716;113;2,595164733;48,00569104;71,08741878;193,9360348;69,9168194;25,4;0,2;92,418;416,7325;5,2044;1208
Italy;ITA;31/12/2019;0,159793441;0,155248096;0,151887621;0,147773679;0,145802123;0,145045394;0,145562439;0,145458384;0,1453714;160;0,57836536;0,4862333;99,15576;4,0323;3,4;2083,86426;0,0654;0,473;27630435,6;71,422;62;53,51776214;247,2790634;579,1021491;3352,052446;712,721547;23,8;2;70,438;200,6459;5,8693;4810
Jamaica;JAM;12/03/2020;0,090909091;0,079365079;0,048;0,030042918;0,022727273;0,018828452;0,017681729;0,017013233;0,017574692;88;0,25353686;0,49660153;88;0,4588;1,7;15,71390882;0,0368;0,533;180951,272;5;41;48,04593739;15,38167311;66,89459977;112,6359981;23,76351486;17;1,7;55,674;269,4174;1,1397;2256
Japan;JPN;31/12/2019;0,042699725;0,034296453;0,034691358;0,035875608;0,040014394;0,044450272;0,047853449;0,052422558;0,05435109;160;0,67321887;0,48840741;99;2,4118;13,4;4971,32308;0,0918;0,07;126387527;2,505;113;5,659674663;1750,999896;1004,445687;5997,114191;1989,68735;22,5;0,2;91,616;334,6558;11,5184;3776
Jordan;JOR;3/03/2020;0,021582734;0,019553073;0,017456359;0,018390805;0,019955654;0,019027484;0,015463918;0,013392857;0,0125;97;0,1156499;0,50610316;98,22711;1,4099;1,4;42,23129577;0,0346;0,566;3383805;23,048;11;0,542442412;68,3429361;96,05715144;335,4937995;53,68260437;;0,1;90,979;114,2031;3,3886;1854
Kazakhstan;KAZ;15/03/2020;0,018421053;0,022008253;0,014671815;0,011709602;0,009560229;0,007236545;0,006461141;0,005309227;0,005159071;85;0,22968821;0,48488519;100;3,252;;;0,0207;0,467;7143797;53,221;38;27,75732324;153,1774847;73,57820774;1668,041265;195,1002352;25,1;0;57,428;6,8908;8,489;7010
Kenya;KEN;14/03/2020;0,074074074;0,055865922;0,062222222;0,04950495;0,067708333;0,068728522;0,067842605;0,053449951;0,050305914;86;0,07839678;0,4968398;81,53497;0,199;1,4;87,90826252;0,0165;0,12;5935831,097;1,875;39;2232,954988;1342,331446;131,8094057;628,3998709;220,734686;10,8;36,8;27,03;92,6505;1,5421;5199
Kyrgyzstan;KGZ;19/03/2020;0,036036036;0,018518519;0,0155902;0,013071895;0,016460905;0,013777268;0,013409962;0,012598425;0,013157895;81;0,15169564;0,49475137;99,586;1,876;4,5;8,092836609;0,0259;0,266;709198,9325;19,495;34;8,299197124;78,50446006;21,29508473;418,9924936;45,84240866;27,1;1,5;36,351;32,629;6,4299;7439
South Korea;KOR;20/02/2020;0,020228583;0,021667951;0,02247191;0,023097064;0,023780771;0,024051804;0,024019652;0,024186297;0,024065585;123;0,296479331;0,50096292;98,09;2,366;11,5;1619,423701;0,0484;12,6;88157579;19,754;0;8,5;310,9;512,3;1355,751857;483,9;23,6;0,2;81,459;511,6175;6,9735;1950
Laos;LAO;25/03/2020;0;0;0;0;0;0;0;0;0;75;0,12986769;0,50210635;85;0,5;1,5;17,95378642;0,0076;;1251961,786;1,228;28;22,84519913;220,4350605;68,63637654;362,8036769;99,11154346;29,3;22,7;35,004;30,7245;0,9756;2817
Latvia;LBY;3/03/2020;0,004484305;0,008665511;0,016516517;0,019710907;0,020023557;0,021111111;0,022082019;0,022637795;0,022705771;97;;;99,9;2,158;;;;;927153,8807;63,611;50;0,148023964;43,62079291;64,16816278;305,861675;47,55090598;;;80,102;29,2167;6,7416;
Lebanon;LBN;31/12/2019;0,039665971;0,036458333;0,03343465;0,035190616;0,034674064;0,034666667;0,029612756;0,027055151;0,023255814;160;;;93,9;2,271;;;;;2981937;14,317;113;4,616139784;21,87213528;67,50190215;371,6435132;55,77336346;33,8;0;88,593;653,0277;2,6448;3088
Liberia;LBR;17/03/2020;0,666666667;0,193548387;0,13559322;0,158415842;0,141843972;0,112359551;0,107981221;0,113445378;0,105263158;83;0,10271316;0,50231709;48;0,0373;0,8;3,264;0,0137;0,117;32000;0;;159,1857908;221,2325192;22,05255034;132,0943564;25,80246916;9,8;40,9;51,151;45,4137;0,1007;1440
Libya;LBY;25/03/2020;0,1;0,047619048;0,020833333;0,033898305;0,049180328;0,046875;0,046875;0,057971014;0,050505051;75;0,1323933;0,50516211;86;2,158;3,7;;0,0383;0,638;927153,8807;1,533;;0,148023964;43,62079291;64,16816278;305,861675;47,55090598;;;80,102;3,9052;6,7416;2267
Liechtenstein;LIE;5/03/2020;0,014705882;0,012820513;0,012658228;0,012345679;0,012195122;0,012195122;0,012195122;0,012195122;0,012195122;95;;;;;;;;;;23,608;48;0,340761094;1,328279135;3,531623395;9,812601814;2,310361103;;;14,338;238,3;0;2599
Lithuania;LTU;31/12/2019;0,025817556;0,032894737;0,034830431;0,032846715;0,034909091;0,037815126;0,03986711;0,041851617;0,043108682;160;0,51797237;0,46208058;100;4,337;7,3;53,42906643;0,0453;0,545;26031;124,834;113;1,885427217;19,99785042;16,49936406;398,2651858;21,74975633;29,7;0,7;67,679;41,689;7,9155;294
Luxembourg;LUX;31/12/2019;0,019836136;0,022742254;0,023717759;0,024356869;0,026001592;0,0267463;0,027920082;0,027700831;0,027493127;160;0,39080652;0,50460741;;2,9234;4,8;70,88532588;0,0454;0,496;2099102;142,192;113;0,292865823;2,231725231;3,605052532;22,09104375;6,922559196;23,5;0,2;90,981;242,0642;12,3496;560
Madagascar;MDG;21/03/2020;0;0;0;0;0;0;0,009433962;0,005390836;0,009803922;79;0,09723322;0,49876033;74,80432;0,181;0,2;13,85343287;0,0286;0,091;541290;496;;96,96314893;928,6407805;100,460712;929,1442864;287,1106514;;77,6;37,191;47,1705;0,1059;2876
Malaysia;MYS;31/12/2019;0,022352132;0,020150522;0,018335962;0,018076645;0,017998318;0,017268202;0,01681664;0,016407476;0,015093844;160;0,20570551;0,51421479;94,85441;1,9;1,9;358,5819434;0,0192;0,256;60481772;19,121;71;336,7285376;359,4664553;273,5574252;1341,292073;298,8321423;21,7;0;76,036;97,8407;4,0718;4101
Maldives;MDV;8/03/2020;0;0;0;0,011627907;0,007194245;0,006482982;0,004188482;0,004215852;0,004804393;92;0,12197365;0,62735019;98;1,0379;4,3;5,32745715;0,077;0,142;1147247;53,601;45;0,192503712;1,269766292;1,935557818;10,16281517;3,868012611;28,6;7,3;39,808;1801,8133;3,9504;2
Mali;MLI;26/03/2020;0,225806452;0,220338983;0,114864865;0,085324232;0,066390041;0,069730586;0,072559367;0,07518797;0,07078853;74;0,07846356;0,50058998;38,7;0,139;0,1;;0,0121;0,114;33444;172;27;354,8461387;1195,10394;90,83094058;687,6639993;216,7119351;12,3;49,7;42,356;16,3288;0,382;1155
Malta;MLT;8/03/2020;0,005319149;0,010033445;0,007518797;0,009009009;0,010799136;0,012396694;0,011811024;0,011986301;0,014705882;92;0,54178188;0,50126692;94,50319;3,826;4,7;14,55342293;0,0587;0,573;2576898;174,49;45;0,177373611;2,922338858;4,264436798;23,96140839;4,766929775;25,6;0;94,612;1397,288;8,95;253
Mexico;MEX;31/12/2019;0,126269956;0,141150582;0,165897041;0,164264036;0,151918647;0,152710429;0,151545314;0,151906563;0,150327468;160;0,21329825;0,48910719;95,37991;2,2478;1,5;1220,69948;0,0281;0,548;64569640;2,673;113;265,5445678;913,9277061;3507,629066;3539,820695;950,571876;14,2;2,5;80,156;65,6355;2,9;5636
