Country;cod;First case date;Let1;Let2;Let3;Let4;Let5;Let6;Let7;Let8;Let9;Days;p60years;Sex;Literacy;Doctors;Beds;GDP;Health;Obesity;Passengers;Test;Quarantine;HIV/AIDS;Respiratory.infectious;Diabetes;Cardiovascular;Respiratory.diseases;Tobacco;Poverty;Urbanpop;Density;Nurse;Height
Serbia;SRB;7/03/2020;0,061320755;0,037134284;0,027498461;0,024216125;0,023269143;0,022673884;0,022826615;0,022154528;0,02172949;93;0,49989567;0,48997477;99;3,125;5,7;50,59728915;0,053;0,422;2262703;32,274;46;1,278967422;35,01564911;106,0713417;1010,992941;132,0193113;39;0,1;56,092;98,8827;6,1203;2111
Singapore;SGP;31/12/2019;0,006;0,006161429;0,00324412;0,001380534;0,001278691;0,001039707;0,000867987;0,000783272;0,000730016;160;0,70624487;0,52341875;97,34486;2,3063;2,4;364,1566578;0,0244;0,135;40401515;69,858;113;3,462675044;92,36578933;22,7692633;185,7292017;30,89914108;16,8;;100;8239,9183;7,2141;164
Syria;SYR;23/03/2020;0,2;0,105263158;0,090909091;0,071428571;0,069767442;0,066666667;0,0625;0,068965517;0,049586777;77;0,14039818;0,50185789;;1,22;1,5;;0,0161;;17896,92117;0;30;1,708457977;136,2679117;93,91842076;955,6753166;131,49692;;1,7;54,162;94,5062;1,46;2814
Slovakia;SVK;7/03/2020;0,005;0,008797654;0,01622248;0,017684887;0,017972682;0,018894332;0,019060585;0,018716578;0,018481848;93;0,44516449;0,48661667;81;5,8;5,8;;;;7925;34,88;46;0,126734565;42,15992442;39,75266843;411,2894736;41,62076111;30,4;0,7;53,726;111,3372;9,1727;
Slovenia;SVN;5/03/2020;0,047562426;0,055912007;0,063301282;0,065779749;0,069816643;0,071132597;0,071770335;0,073569482;0,074099252;95;0,5344792;0,49754817;100;2,9953;4,6;54,00797211;;;1094762;41,157;48;0,199718335;10,72422784;14,5228253;130,9154073;16,38209767;22,6;0;54,541;102,5471;9,68;
Somalia;SOM;17/03/2020;0,2;0,416666667;0,1;0,097902098;0,067010309;0,059564719;0,050041017;0,04259377;0,045638359;83;0,09082836;0,4986665;5;0,023;0,9;4,720727278;0,0126;0,078;4486;0;36;100,2254637;1918,23419;76,39477269;514,5110181;118,3701746;;;44,971;24,9244;0,0611;2450
Sri Lanka;LKA;31/12/2019;0,047945205;0,037037037;0,029411765;0,021212121;0,013867488;0,011292346;0,009836066;0,009727626;0,007488087;160;0,3077136;0,48033182;91,70982;1,0578;3,6;88,90077086;0,0168;0,135;5882376;3,595;113;5,885666398;161,5775898;401,1759865;1172,949206;362,1226924;13,7;0,8;18,476;326,3717;2,1155;2524
South Africa;ZAF;6/03/2020;0,013043478;0,018428184;0,025937749;0,028335626;0,028598131;0,028048156;0,028076859;0,030661556;0,030535528;94;0,1651616;0,4930585;87;0,8024;2,8;368,2889398;0,0347;0,506;23921748,07;15,914;13;6680,924339;1682,300325;1224,492145;2482,410585;835,75071;20,7;18,9;66,355;48,5724;3,5171;3450
Sudan;SDN;14/03/2020;0,285714286;0,357142857;0,40625;0,2;0,130666667;0,105633803;0,061056106;0,071480938;0,072250345;86;0,11066906;0,49952585;60,69718;0,41;0,8;40,85153613;0,011;0,132;269958,48;9;39;181,3556072;1419,725579;283,1519159;2575,135021;420,3180969;;;34,642;23,249;0,83;3042
Sweden;SWE;31/12/2019;0,138872044;0,14289108;0,162404628;0,153836541;0,144862575;0,144660925;0,137267548;0,133870507;0,129445964;160;0,51248894;0,50054224;99;5,3996;2,6;556,0864889;0,0926;0,44;11623925;27,289;113;1,3267132;49,45991952;86,74690343;507,6151593;132,5048083;18,9;0,5;87,431;22,4281;11,5434;2104
Switzerland;CHE;31/12/2019;0,050371454;0,053221649;0,057297995;0,060704684;0,061379944;0,062208916;0,062210239;0,062528541;0,062418768;160;0,48870814;0,49572875;99;4,2363;4,7;705,1403542;0,0776;0,421;28857994;49,588;113;3,554913492;34,55304953;44,35043629;332,5731569;92,03551962;25,8;0;73,797;209,6362;17,2828;4634
Thailand;THA;31/12/2019;0,016939582;0,018151119;0,018539538;0,01910828;0,018663047;0,018735363;0,018561485;0,01878708;0,018991487;160;0,35363292;0,48731295;93,76776;0,4457;2,1;504,9927577;0,029;0,182;76053042,75;6,708;113;829,9186171;1016,934803;789,0611127;3031,552103;1075,075545;20,4;0;49,949;136,0305;2,9647;2565
Taiwan;TWN;31/12/2019;0,015197568;0,015831135;0,015189873;0,014084507;0,013986014;0,01594533;0,015909091;0,015909091;0,015873016;160;;;98,5;;;;;;;3,091;113;15,86245563;357,0164302;888,0146248;3574,968312;899,5082524;;;;658,0492;;
Turkey;TUR;12/03/2020;0,051789017;0,039711191;0,034240258;0,031224031;0,030479041;0,029997571;0,029500957;0,029039171;0,028842844;88;0,2477561;0,49322187;96;1,761;2,7;771,3503305;0,0326;0,585;115595495,8;28,214;41;15,86245563;357,0164302;888,0146248;3574,968312;899,5082524;27,6;0,2;75,143;107,6355;2,6304;5137
Ukraine;UKR;4/03/2020;0,065491184;0,064748201;0,046227418;0,037924757;0,033144131;0,033297937;0,0343379;0,034217369;0,033873545;96;0,45477724;0,46312249;100;3,008;8,8;130,8323744;0,0285;0,428;7854842;9,999;49;647,0781215;271,9835231;222,1501013;7514,816108;409,7755637;30,5;0,1;69,352;72,4669;7,0576;2061
Uruguay;URY;15/03/2020;0,02;0,019736842;0,024340771;0,027322404;0,026984127;0,028231798;0,027816412;0,029490617;0,02864259;85;0,39394575;0,482778457;99;3,9329;2,8;59,59688502;0,065;0,548;;14,079;38;647,0781215;271,9835231;222,1501013;7514,816108;409,7755637;;;;19,1883;1,9299;514
Venezuela;VEN;15/03/2020;0,062937063;0,053892216;0,050761421;0,034722222;0,03021148;0,026385224;0,023640662;0,013349515;0,016064257;85;0,22074427;0,49366742;97;1,924;0,8;;0,0077;0,486;2137771;47,233;;144,2912486;263,3090759;514,2671467;1260,173855;235,1778882;;10,2;88,208;31,0285;1,1223;5007
Vietnam;VNM;31/12/2019;0;0;0;0;0;0;0;0;0;160;0,2281798;0,4990359;95,00038;0,8199;2,6;20544,34346;0,0268;0,071;47049671;2,827;113;416,6040709;753,935064;736,4492998;3854,18043;1050,21972;23,5;2;35,919;293,886;1,4321;3143
